"filename", "language", "C++", "comment", "blank", "total"
"b:\C++\Assignments\Assignment_2\Inc\CGramCheck.h", "C++", 4, 0, 0, 4
"b:\C++\Assignments\Assignment_2\Res\tobecheck.cpp", "C++", 2, 0, 1, 3
"b:\C++\Assignments\Assignment_2\Src\CGramCheck.cpp", "C++", 96, 25, 7, 128
"b:\C++\Assignments\Assignment_2\main.cpp", "C++", 0, 6, 0, 6
"Total", "-", 102, 31, 8, 141
