"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"b:\C++\Assignments\Assignment_2\Inc\CGramCheck.h", "C++", 64, 0, 7, 9, 80
"b:\C++\Assignments\Assignment_2\Inc\CQueue.h", "C++", 46, 0, 7, 7, 60
"b:\C++\Assignments\Assignment_2\README.md", "Markdown", 0, 73, 6, 3, 82
"b:\C++\Assignments\Assignment_2\Res\tobecheck.cpp", "C++", 8, 0, 1, 3, 12
"b:\C++\Assignments\Assignment_2\Src\CGramCheck.cpp", "C++", 244, 0, 113, 24, 381
"b:\C++\Assignments\Assignment_2\Src\CQueue.cpp", "C++", 138, 0, 110, 15, 263
"b:\C++\Assignments\Assignment_2\main.cpp", "C++", 17, 0, 29, 9, 55
"Total", "-", 517, 73, 273, 70, 933
