"filename", "language", "C++", "comment", "blank", "total"
"b:\C++\Assignments\Assignment_2\Inc\CGramCheck.h", "C++", 3, 0, 0, 3
"b:\C++\Assignments\Assignment_2\Inc\CQueue.h", "C++", 12, 0, 1, 13
"b:\C++\Assignments\Assignment_2\Src\CGramCheck.cpp", "C++", 67, 5, 7, 79
"b:\C++\Assignments\Assignment_2\Src\CQueue.cpp", "C++", 12, 20, 2, 34
"b:\C++\Assignments\Assignment_2\main.cpp", "C++", 0, 0, 1, 1
"Total", "-", 94, 25, 11, 130
