"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"b:\C++\Assignments\Assignment_2\Inc\CGramCheck.h", "C++", 39, 0, 7, 8, 54
"b:\C++\Assignments\Assignment_2\Inc\CQueue.h", "C++", 46, 0, 7, 7, 60
"b:\C++\Assignments\Assignment_2\README.md", "Markdown", 0, 73, 6, 3, 82
"b:\C++\Assignments\Assignment_2\Res\tobecheck.cpp", "C++", 6, 0, 0, 1, 7
"b:\C++\Assignments\Assignment_2\Src\CGramCheck.cpp", "C++", 99, 0, 33, 13, 145
"b:\C++\Assignments\Assignment_2\Src\CQueue.cpp", "C++", 125, 0, 102, 14, 241
"b:\C++\Assignments\Assignment_2\main.cpp", "C++", 16, 0, 23, 8, 47
"Total", "-", 331, 73, 178, 54, 636
