"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"b:\C++\Assignments\Assignment_2\Inc\CGramCheck.h", "C++", 53, 0, 13, 10, 76
"b:\C++\Assignments\Assignment_2\Inc\CQueue.h", "C++", 77, 0, 7, 10, 94
"b:\C++\Assignments\Assignment_2\README.md", "Markdown", 0, 73, 6, 3, 82
"b:\C++\Assignments\Assignment_2\Res\OK.cpp", "C++", 25, 0, 24, 9, 58
"b:\C++\Assignments\Assignment_2\Res\tobecheck.cpp", "C++", 9, 0, 1, 3, 13
"b:\C++\Assignments\Assignment_2\Src\CGramCheck.cpp", "C++", 265, 0, 339, 45, 649
"b:\C++\Assignments\Assignment_2\Src\CQueue.cpp", "C++", 151, 0, 125, 16, 292
"b:\C++\Assignments\Assignment_2\main.cpp", "C++", 26, 0, 25, 9, 60
"Total", "-", 606, 73, 540, 105, 1324
