"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"b:\C++\Assignments\Assignment_2\Inc\CGramCheck.h", "C++", 48, 0, 13, 10, 71
"b:\C++\Assignments\Assignment_2\Inc\CQueue.h", "C++", 77, 0, 7, 10, 94
"b:\C++\Assignments\Assignment_2\README.md", "Markdown", 0, 73, 6, 3, 82
"b:\C++\Assignments\Assignment_2\Res\OK.cpp", "C++", 25, 0, 18, 9, 52
"b:\C++\Assignments\Assignment_2\Res\tobecheck.cpp", "C++", 8, 0, 1, 3, 12
"b:\C++\Assignments\Assignment_2\Src\CGramCheck.cpp", "C++", 186, 0, 297, 40, 523
"b:\C++\Assignments\Assignment_2\Src\CQueue.cpp", "C++", 149, 0, 114, 15, 278
"b:\C++\Assignments\Assignment_2\main.cpp", "C++", 26, 0, 25, 9, 60
"Total", "-", 519, 73, 481, 99, 1172
